Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Jon Jay,1,LF,KCR,BAL,BAL201805080,Paul Nauert,Kerwin Danley,Scott Barry,Carlos Torres,A,No Precipitation,Night,Oriole Park at Camden Yards,75,from Right to Left,6,(L),0
Eduardo Escobar,3,SS,MIN,LAA,MIN201806080,Jim Reynolds,Bruce Dreckman,Roberto Ortiz,Mike Estabrook,H,No Precipitation,Cloudy,Target Field,73,in from Rightfield,10,(R),0
Ronald Acuna Jr.,NA,CF,ATL,NYM,NYN201906280,Bill Welke,Lance Barrett,Roberto Ortiz,Mike Everitt,A,No Precipitation,Cloudy,Citi Field,84,out to Leftfield,12,(R),0
Steven Souza Jr.,NA,RF,ARI,LAD,LAN201805090,Larry Vanover,Hunter Wendelstedt,Chris Guccione,David Rackley,A,No Precipitation,Night,Dodger Stadium,68,out to Leftfield,4,(L),0
Jesus Aguilar,4,1B,MIL,LAD,LAN201807310,Alfonso Marquez,Brian Knight,Pat Hoberg,Gerry Davis,A,No Precipitation,Night,Dodger Stadium,81,out to Centerfield,6,(L),0
Kenta Maeda,NA,P,LAD,SDP,SDN201909240,Tripp Gibson,Brian Gorman,Nick Mahrley,Mark Carlson,A,No Precipitation,Night,Petco Park,73,from Left to Right,9,(L),0
Brandon Lowe,8,LF,TBR,TOR,TOR201808120,Bill Welke,Lance Barrett,Tony Randazzo,Ryan Additon,A,No Precipitation,Sunny,Rogers Centre,81,from Right to Left,7,(R),0
Tim Hill,NA,P,KCR,CHW,KCA201804270,Vic Carapazza,Jordan Baker,Jerry Layne,Sean Barber,H,No Precipitation,Night,Kauffman Stadium,75,from Left to Right,13,(L),0
Bryan Holaday,NA,PH,MIA,BOS,MIA201804030,Ron Kulpa,Ed Hickox,Jerry Meals,Ben May,H,No Precipitation,Cloudy,Marlins Park,77,in from Centerfield,10,(R),0
Joey Gallo,7,LF-1B,TEX,HOU,TEX201807040,Jeff Kellogg,James Hoye,Marvin Hudson,Quinn Wolcott,H,No Precipitation,Cloudy,Globe Life Park in Arlington,91,in from Leftfield,14,(L),0
Jose Altuve,2,2B,HOU,NYY,NYA201805280,Tripp Gibson,Chad Whitson,Brian Gorman,Adrian Johnson,A,No Precipitation,Cloudy,Yankee Stadium III,65,in from Leftfield,5,(R),1
Ryan Braun,6,LF,MIL,STL,SLN201908210,John Bacon,Ted Barrett,John Tumpane,Lance Barksdale,A,No Precipitation,Cloudy,Busch Stadium III,86,in from Centerfield,5,(R),0
Chris Taylor,3,3B-LF,LAD,NYM,NYN201909150,Dan Iassogna,Hunter Wendelstedt,Ben May,Vic Carapazza,A,No Precipitation,Cloudy,Citi Field,78,out to Centerfield,9,(R),0
Jose Rondon,2,3B,CHW,BOS,BOS201806080,Shane Livensparger,James Hoye,Quinn Wolcott,Jeff Kellogg,A,No Precipitation,Cloudy,Fenway Park,70,from Right to Left,6,(R),0
